N,CITY_NUM,GMAX,PC,PM
100,50,200,0.9,0.1
x,y,,,
1,2,,,
7,51,,,
25,0,,,
78,75,,,
10,55,,,
39,44,,,
13,30,,,
25,43,,,
28,46,,,
71,24,,,
58,52,,,
42,63,,,
39,2,,,
3,90,,,
93,63,,,
60,40,,,
14,45,,,
18,64,,,
26,88,,,
5,35,,,
85,83,,,
4,33,,,
91,76,,,
38,87,,,
49,56,,,
11,84,,,
99,26,,,
66,90,,,
62,28,,,
46,9,,,
46,38,,,
18,20,,,
67,91,,,
7,22,,,
25,14,,,
66,33,,,
46,96,,,
90,31,,,
30,5,,,
75,14,,,
57,22,,,
87,85,,,
85,40,,,
51,29,,,
58,23,,,
50,29,,,
68,64,,,
7,37,,,
75,56,,,
34,97,,,
cost,,,,
2214.76,,,,
2125.93,,,,
2034.43,,,,
2160.95,,,,
2270.54,,,,
2261.41,,,,
2268.9,,,,
2271.84,,,,
2181.39,,,,
2249.92,,,,
2105.07,,,,
1968.25,,,,
2260.39,,,,
2210.33,,,,
2158.55,,,,
2079.91,,,,
2268.92,,,,
2324.81,,,,
2181.73,,,,
2135.08,,,,
2232.51,,,,
2187.77,,,,
2161.9,,,,
2198.7,,,,
2207.89,,,,
2176.83,,,,
2232.69,,,,
2288.92,,,,
2215.44,,,,
2263.96,,,,
2227.1,,,,
2205.3,,,,
2129.16,,,,
2206.47,,,,
2278.87,,,,
2287.01,,,,
2282.65,,,,
2159.18,,,,
2311.69,,,,
2178.92,,,,
2252.96,,,,
2164.78,,,,
2221.49,,,,
2087.91,,,,
2299.33,,,,
1973.29,,,,
2233.69,,,,
2248.11,,,,
2275.59,,,,
2231.48,,,,
2165.33,,,,
2210.29,,,,
2183.37,,,,
2149.39,,,,
2269,,,,
2243.23,,,,
2152.79,,,,
2242.31,,,,
2261.88,,,,
2229.53,,,,
2251.23,,,,
2259.68,,,,
2227.58,,,,
2258.1,,,,
2248.85,,,,
2172.21,,,,
2175.06,,,,
2114.9,,,,
2255.59,,,,
2060.42,,,,
2070.22,,,,
2171.14,,,,
2109.12,,,,
2229.22,,,,
2163.83,,,,
2167.54,,,,
2141.25,,,,
2217.81,,,,
2200.58,,,,
2204.14,,,,
2299.38,,,,
2256.66,,,,
2315.87,,,,
2147.25,,,,
2140.4,,,,
2287.68,,,,
2254.21,,,,
2074.79,,,,
2096.98,,,,
2154.85,,,,
2195.45,,,,
2317.37,,,,
2178.74,,,,
2151.43,,,,
2158.35,,,,
2124.98,,,,
2246.66,,,,
2094.18,,,,
1976.28,,,,
2191.3,,,,
2154.44,,,,
2249.72,,,,
2202.95,,,,
2216.4,,,,
2143.7,,,,
2205.97,,,,
2180.87,,,,
2181.14,,,,
2293.42,,,,
2015.49,,,,
2256.33,,,,
2212.53,,,,
2233.04,,,,
2153.9,,,,
2142.43,,,,
2233.59,,,,
2161.58,,,,
2244.85,,,,
2239.79,,,,
2222.69,,,,
2208.21,,,,
2128.41,,,,
2248.56,,,,
2248.61,,,,
2275.55,,,,
2219.61,,,,
2254.57,,,,
2178.47,,,,
2274.43,,,,
2276.38,,,,
2162.62,,,,
2075.79,,,,
2221.02,,,,
2242.52,,,,
2143.21,,,,
2269.79,,,,
2223.21,,,,
2279.52,,,,
2268.4,,,,
2270.43,,,,
2160.85,,,,
2144.37,,,,
2253.28,,,,
2139.29,,,,
2271.99,,,,
2284.53,,,,
2196.34,,,,
2073.35,,,,
2152.62,,,,
2187.28,,,,
2137.22,,,,
2267.81,,,,
2175.52,,,,
2157.28,,,,
2231.63,,,,
2265.63,,,,
2236.17,,,,
2210.05,,,,
2114.38,,,,
2236.57,,,,
2282.29,,,,
1896.27,,,,
2224.38,,,,
2162.14,,,,
2228,,,,
2291.69,,,,
2160.93,,,,
2227.31,,,,
2091.59,,,,
2114.02,,,,
2147.33,,,,
2188.45,,,,
2154.79,,,,
2240.95,,,,
2181.4,,,,
2180.38,,,,
2148.36,,,,
2276.66,,,,
2199.95,,,,
2211.17,,,,
2121.34,,,,
2250.2,,,,
2059.32,,,,
2102.31,,,,
2241.48,,,,
2175.49,,,,
2232.15,,,,
2189.46,,,,
2248.17,,,,
2238.03,,,,
2267.26,,,,
2142.54,,,,
2190.18,,,,
2221.64,,,,
2275.49,,,,
2243.22,,,,
2116.24,,,,
2155.98,,,,
2167.19,,,,
2206.19,,,,
,,,,
duration(ms),,,,
246543,,,,
,,,,
min cost,,,,
1896.26663,,,,
,,,,
solution,,,,
0,,,,
45,,,,
5,,,,
38,,,,
12,,,,
34,,,,
41,,,,
39,,,,
40,,,,
25,,,,
1,,,,
47,,,,
49,,,,
43,,,,
36,,,,
18,,,,
46,,,,
44,,,,
42,,,,
48,,,,
20,,,,
22,,,,
14,,,,
27,,,,
4,,,,
21,,,,
30,,,,
33,,,,
24,,,,
10,,,,
15,,,,
9,,,,
31,,,,
2,,,,
35,,,,
26,,,,
29,,,,
6,,,,
7,,,,
16,,,,
17,,,,
13,,,,
32,,,,
3,,,,
28,,,,
37,,,,
23,,,,
11,,,,
19,,,,
8,,,,
