N,CITY_NUM,GMAX,PC,PM
150000,500,100,0.9,0.1
x,y
1,2
7,51
25,0
78,75
10,55
39,44
13,30
25,43
28,46
71,24
58,52
42,63
39,2
3,90
93,63
60,40
14,45
18,64
26,88
5,35
85,83
4,33
91,76
38,87
49,56
11,84
99,26
66,90
62,28
46,9
46,38
18,20
67,91
7,22
25,14
66,33
46,96
90,31
30,5
75,14
57,22
87,85
85,40
51,29
58,23
50,29
68,64
7,37
75,56
34,97
24,56
91,3
17,63
100,28
44,51
8,95
99,69
11,85
20,9
2,16
37,43
37,56
75,29
17,34
14,74
22,68
7,37
61,98
26,30
99,12
74,70
18,6
90,16
79,61
58,95
83,23
1,44
86,12
30,49
51,88
79,19
86,84
24,85
49,12
49,56
65,31
11,27
65,89
25,0
14,45
78,46
80,63
70,22
12,29
81,78
16,18
98,98
54,18
56,50
50,71
19,7
54,33
3,90
26,59
7,8
10,84
33,37
16,76
49,27
69,36
64,44
92,62
20,8
4,48
36,12
75,86
19,8
35,83
61,70
46,24
13,72
93,20
26,87
92,33
66,32
97,53
83,37
15,75
14,2
91,31
70,65
80,91
38,0
65,2
81,78
88,86
4,76
3,33
89,87
23,41
49,100
31,35
82,79
31,93
52,2
68,49
32,8
5,21
21,24
74,71
19,36
89,29
53,61
46,53
45,51
38,44
66,32
53,32
92,4
83,52
86,69
68,92
38,58
9,10
4,48
42,63
93,6
68,34
93,35
33,95
10,41
35,98
44,80
54,90
91,75
13,0
96,67
39,2
97,82
81,6
55,6
80,34
84,39
16,76
29,47
96,81
58,37
44,93
49,13
87,41
86,83
27,3
32,95
64,73
57,80
83,52
77,88
47,53
45,9
75,86
76,44
100,72
3,18
29,4
97,82
73,40
90,88
35,40
72,11
36,55
20,81
13,43
8,52
75,28
48,98
39,30
52,89
100,42
95,80
58,38
45,37
96,52
38,58
40,74
59,24
7,66
84,10
40,16
40,31
69,50
68,92
79,47
42,63
8,38
92,76
2,2
89,44
13,43
73,26
30,63
66,4
70,8
92,62
32,65
14,30
94,50
98,11
39,45
1,15
91,61
34,96
1,30
100,42
33,23
4,33
61,41
19,79
73,98
23,12
40,46
99,27
65,32
74,55
50,72
40,3
65,17
82,36
73,69
11,99
62,85
92,18
44,22
70,7
70,51
89,59
6,50
15,90
62,13
98,98
5,20
82,64
24,27
7,8
33,23
13,29
50,43
33,37
37,0
57,22
54,90
0,43
29,48
9,24
30,63
48,41
60,40
13,88
24,100
71,37
79,76
44,64
48,41
47,54
82,22
77,31
42,5
72,82
48,12
100,57
79,4
63,58
28,32
55,5
14,16
90,89
44,79
14,16
97,9
64,87
74,71
1,88
53,17
59,38
5,6
77,45
31,36
85,69
39,59
98,69
98,68
37,13
82,50
95,7
85,98
100,71
29,62
31,93
67,18
33,9
45,37
3,18
24,42
0,58
94,50
77,59
1,73
92,19
68,49
0,87
61,85
49,85
25,71
66,47
61,41
38,86
0,58
40,74
22,54
72,54
22,11
21,53
44,65
93,48
52,74
61,41
64,1
51,29
95,94
80,19
16,18
98,54
64,15
89,87
34,67
18,6
51,29
46,67
23,41
13,58
25,14
76,72
54,5
25,29
14,45
17,48
43,92
2,46
9,54
28,46
98,25
65,74
21,53
90,31
86,84
28,46
53,46
68,93
38,0
82,36
72,54
33,52
11,13
100,100
20,95
57,51
93,34
1,73
10,26
63,58
66,75
26,88
85,68
40,89
19,94
96,67
95,22
20,8
21,39
8,23
91,32
88,86
57,79
42,19
83,95
80,19
26,29
86,55
15,46
13,73
75,28
39,45
83,37
19,94
80,19
12,86
22,83
59,39
100,100
19,80
16,47
93,20
53,17
11,71
55,78
35,83
72,68
11,71
35,69
57,22
14,45
74,85
11,100
21,53
86,55
48,26
48,70
25,43
75,86
74,55
43,93
70,22
1,30
36,70
62,42
82,8
99,70
65,74
78,2
44,79
44,36
47,83
60,40
3,47
81,78
75,86
84,82
12,86
68,64
29,77
65,60
9,68
69,36
62,28
97,24
62,27
1,2
72,53
12,43
88,15
85,25
65,74
41,47
73,26
3,75
50,28
52,60
48,98
56,93
97,10
64,87
cost
