N,CITY_NUM,GMAX,PC,PM
100,50,200,0.9,0.1
x,y
54,64
19,43
34,33
5,31
80,43
87,39
36,13
95,98
50,86
43,37
36,94
93,17
90,94
81,79
59,38
70,47
31,83
51,11
75,2
91,25
77,51
43,54
8,76
24,72
66,8
48,46
40,71
28,34
9,65
12,8
79,19
58,41
67,93
39,83
91,5
62,51
81,63
54,22
89,1
28,20
47,64
57,14
59,60
2,20
69,76
4,62
72,2
48,54
20,78
96,13
cost
2704.47,
2410.18,
2435.58,
2522.88,
2744.35,
2646.24,
2545.69,
2469.16,
2477.67,
2515.63,
2329.25,
2446.08,
2463.58,
2695.73,
2443.53,
2837.76,
2465.89,
2664.16,
2581.25,
2351.95,
2542.11,
2568.44,
2319.75,
2550.47,
2543.08,
2610.31,
2595.2,
2726.5,
2458.73,
2282.99,
2579.88,
2371.31,
2308.8,
2514.13,
2508.54,
2536.47,
2454.5,
2340.62,
2673.05,
2554.18,
2505.49,
2645.28,
2765.94,
2632.58,
2718.68,
2678.24,
2523.28,
2679.64,
2482.44,
2617.87,
2659.7,
2432.1,
2566.18,
2414.87,
2471.12,
2471.74,
2631.53,
2609.8,
2744.24,
2707.29,
2441.72,
2665.13,
2629.83,
2422.56,
2618.63,
2564.85,
2579.41,
2759.47,
2540.22,
2830.73,
2542.65,
2550.21,
2569.9,
2371.13,
2335.19,
2504.6,
2699.33,
2596.51,
2456.2,
2535.25,
2773.75,
2435.95,
2311.24,
2397.97,
2557.61,
2526.48,
2584.22,
2576.95,
2347.33,
2243.09,
2386.32,
2553.09,
2774.97,
2602.6,
2370.18,
2729.28,
2541.83,
2711.38,
2607.54,
2549.75,
2449.76,
2488.2,
2661.08,
2383.35,
2453.45,
2341.25,
2471.61,
2615.51,
2517.35,
2484.77,
2372.19,
2525.73,
2672.33,
2501.64,
2642.78,
2363.36,
2612.88,
2674.99,
2333.03,
2651.57,
2414.91,
2665.22,
2235.35,
2475.99,
2626.09,
2367.58,
2689.51,
2434.58,
2430.61,
2560.17,
2610.54,
2278.3,
2681.67,
2456.93,
2500.1,
2461.57,
2506.11,
2408.17,
2500.12,
2472.38,
2582.66,
2462.49,
2479.09,
2411.75,
2608.72,
2462.97,
2386.41,
2546.43,
2470.06,
2424.38,
2543.7,
2554.55,
2367.34,
2695.91,
2430.05,
2631.63,
2543.54,
2732.43,
2590.53,
2652.47,
2600.62,
2523.02,
2521.08,
2527.86,
2207.9,
2549.16,
2665.59,
2340.41,
2417.14,
2554.18,
2611.64,
2482.2,
2828.42,
2597.24,
2631.65,
2708.54,
2484.31,
2549.41,
2354.61,
2688.59,
2698.98,
2686.77,
2578.12,
2552.39,
2519.41,
2525.64,
2133.49,
2626.68,
2427.7,
2411.03,
2810.98,
2260.51,
2517.02,
2623.83,
2687.86,
2446.49,
2519.94,
2691.57,
2515.18,
2422.5,

duration(ms)
5699

min cost
2133.49

solution
0
35
18
45
23
22
10
40
14
43
28
48
26
25
11
1
15
17
27
33
3
5
20
31
49
39
46
29
9
13
8
38
21
12
32
7
36
42
47
24
37
2
4
30
34
16
6
41
19
44
