N,CITY_NUM,GMAX,PC,PM
145000,700,100,0.9,0.1
x,y
1,2
7,51
25,0
78,75
10,55
39,44
13,30
25,43
28,46
71,24
58,52
42,63
39,2
3,90
93,63
60,40
14,45
18,64
26,88
5,35
85,83
4,33
91,76
38,87
49,56
11,84
99,26
66,90
62,28
46,9
46,38
18,20
67,91
7,22
25,14
66,33
46,96
90,31
30,5
75,14
57,22
87,85
85,40
51,29
58,23
50,29
68,64
7,37
75,56
34,97
24,56
91,3
17,63
100,28
44,51
8,95
99,69
11,85
20,9
2,16
37,43
37,56
75,29
17,34
14,74
22,68
7,37
61,98
26,30
99,12
74,70
18,6
90,16
79,61
58,95
83,23
1,44
86,12
30,49
51,88
79,19
86,84
24,85
49,12
49,56
65,31
11,27
65,89
25,0
14,45
78,46
80,63
70,22
12,29
81,78
16,18
98,98
54,18
56,50
50,71
19,7
54,33
3,90
26,59
7,8
10,84
33,37
16,76
49,27
69,36
64,44
92,62
20,8
4,48
36,12
75,86
19,8
35,83
61,70
46,24
13,72
93,20
26,87
92,33
66,32
97,53
83,37
15,75
14,2
91,31
70,65
80,91
38,0
65,2
81,78
88,86
4,76
3,33
89,87
23,41
49,100
31,35
82,79
31,93
52,2
68,49
32,8
5,21
21,24
74,71
19,36
89,29
53,61
46,53
45,51
38,44
66,32
53,32
92,4
83,52
86,69
68,92
38,58
9,10
4,48
42,63
93,6
68,34
93,35
33,95
10,41
35,98
44,80
54,90
91,75
13,0
96,67
39,2
97,82
81,6
55,6
80,34
84,39
16,76
29,47
96,81
58,37
44,93
49,13
87,41
86,83
27,3
32,95
64,73
57,80
83,52
77,88
47,53
45,9
75,86
76,44
100,72
3,18
29,4
97,82
73,40
90,88
35,40
72,11
36,55
20,81
13,43
8,52
75,28
48,98
39,30
52,89
100,42
95,80
58,38
45,37
96,52
38,58
40,74
59,24
7,66
84,10
40,16
40,31
69,50
68,92
79,47
42,63
8,38
92,76
2,2
89,44
13,43
73,26
30,63
66,4
70,8
92,62
32,65
14,30
94,50
98,11
39,45
1,15
91,61
34,96
1,30
100,42
33,23
4,33
61,41
19,79
73,98
23,12
40,46
99,27
65,32
74,55
50,72
40,3
65,17
82,36
73,69
11,99
62,85
92,18
44,22
70,7
70,51
89,59
6,50
15,90
62,13
98,98
5,20
82,64
24,27
7,8
33,23
13,29
50,43
33,37
37,0
57,22
54,90
0,43
29,48
9,24
30,63
48,41
60,40
13,88
24,100
71,37
79,76
44,64
48,41
47,54
82,22
77,31
42,5
72,82
48,12
100,57
79,4
63,58
28,32
55,5
14,16
90,89
44,79
14,16
97,9
64,87
74,71
1,88
53,17
59,38
5,6
77,45
31,36
85,69
39,59
98,69
98,68
37,13
82,50
95,7
85,98
100,71
29,62
31,93
67,18
33,9
45,37
3,18
24,42
0,58
94,50
77,59
1,73
92,19
68,49
0,87
61,85
49,85
25,71
66,47
61,41
38,86
0,58
40,74
22,54
72,54
22,11
21,53
44,65
93,48
52,74
61,41
64,1
51,29
95,94
80,19
16,18
98,54
64,15
89,87
34,67
18,6
51,29
46,67
23,41
13,58
25,14
76,72
54,5
25,29
14,45
17,48
43,92
2,46
9,54
28,46
98,25
65,74
21,53
90,31
86,84
28,46
53,46
68,93
38,0
82,36
72,54
33,52
11,13
100,100
20,95
57,51
93,34
1,73
10,26
63,58
66,75
26,88
85,68
40,89
19,94
96,67
95,22
20,8
21,39
8,23
91,32
88,86
57,79
42,19
83,95
80,19
26,29
86,55
15,46
13,73
75,28
39,45
83,37
19,94
80,19
12,86
22,83
59,39
100,100
19,80
16,47
93,20
53,17
11,71
55,78
35,83
72,68
11,71
35,69
57,22
14,45
74,85
11,100
21,53
86,55
48,26
48,70
25,43
75,86
74,55
43,93
70,22
1,30
36,70
62,42
82,8
99,70
65,74
78,2
44,79
44,36
47,83
60,40
3,47
81,78
75,86
84,82
12,86
68,64
29,77
65,60
9,68
69,36
62,28
97,24
62,27
1,2
72,53
12,43
88,15
85,25
65,74
41,47
73,26
3,75
50,28
52,60
48,98
56,93
97,10
64,87
37,28
60,25
29,76
42,77
59,68
35,98
77,16
51,59
58,37
97,68
5,92
80,49
29,62
92,77
64,87
44,94
21,68
73,12
10,26
14,31
12,28
19,79
41,61
85,54
11,56
96,9
79,47
12,43
96,52
89,30
72,10
59,53
68,6
65,31
31,64
53,75
77,16
57,36
17,20
47,54
80,34
60,10
4,5
7,9
41,47
24,71
50,100
23,41
100,86
71,81
39,30
44,7
61,84
1,45
65,89
25,29
84,39
59,24
91,3
43,49
51,1
24,85
45,23
96,52
29,47
62,13
28,61
6,7
25,15
71,38
60,39
55,92
26,74
60,25
15,17
81,6
7,9
84,52
30,35
96,37
50,71
62,13
67,34
84,24
17,77
39,2
42,77
54,77
59,53
90,75
40,17
53,76
12,0
61,27
59,53
57,22
62,100
79,90
51,58
24,70
30,20
38,72
16,19
43,35
77,1
57,7
52,31
5,64
25,0
10,11
84,24
14,2
12,86
61,99
67,63
18,35
77,1
10,26
28,17
93,34
82,51
74,85
87,86
67,77
22,54
27,60
10,26
24,85
70,51
93,6
18,78
81,20
65,2
32,22
26,58
80,19
29,19
63,28
83,38
37,72
39,88
17,33
6,7
1,16
27,60
28,18
29,91
8,24
3,33
78,3
1,59
12,14
76,1
95,95
34,24
30,92
26,29
94,21
7,23
5,6
60,25
53,76
88,57
76,72
5,92
59,82
99,84
59,9
58,37
32,22
86,41
9,11
64,44
48,99
84,23
83,8
44,22
40,17
24,56
87,99
38,0
25,72
21,82
74,99
0,29
62,28
8,67
13,0
43,78
98,83
55,63
90,89
76,73
73,70
68,20
42,19
75,100
64,44
84,9
18,6
cost,round_duration
34110.2,43559,
33858.4,43167,
34254.4,43035,
33925.8,43036,
34038.3,42968,
33863.1,43001,
33651.6,42832,
34116.9,42894,
34107,42679,
33680.6,42858,
34179.3,42687,
34080.2,42685,
34023.3,42618,
34078.1,42731,
34175.1,42699,
34155.3,42628,
34075.5,42705,
34018.9,42612,
34102.8,42737,
33662.7,42538,
34211,42482,
34234,42579,
33799.4,42498,
33690.9,42526,
34017.9,42634,
34230.6,42461,
34165.8,42482,
34224.5,42385,
33964.4,42365,
34092.1,42317,
33883.3,42398,
34016.9,42340,
33467.9,42472,
34001.7,42474,
34315,42333,
33948.6,42338,
34050.2,42667,
33804,42487,
33949.5,42433,
34066,42492,
34079.4,42528,
34066.6,42546,
33619.3,42538,
34326,42439,
34031.3,42413,
34175.7,42638,
34155.4,42522,
34278.9,42575,
33837.3,42414,
33617.2,42333,
33987,42589,
34128.3,42369,
34006.3,42376,
34071.4,42438,
34049.1,42473,
34113.1,42455,
34066.6,42418,
34148.8,42435,
33900,42389,
33996.7,42574,
33950.5,42487,
33794.5,42389,
33822.3,42574,
34214.7,42582,
34214.9,42441,
34213,42497,
34046.7,42543,
34010.2,42424,
34002.9,42490,
33841.9,42405,
33833.2,42455,
34248.5,42523,
34205.6,42496,
33936.6,42539,
34158.7,42445,
34195.7,42262,
33430.5,42593,
33943.2,42400,
34164.5,42424,
34036.1,42571,
34192.7,42565,
34087,42627,
33831.7,42841,
33900.9,42648,
34322.3,42606,
34006.7,42597,
34077.4,42507,
34100.2,42476,
34093.2,42671,
33857.6,42707,
34163.3,42577,
34055.4,42633,
34027.4,42667,
34278.9,42714,
34013.6,42632,
33981,42752,
33974.1,42540,
34212.6,42669,
34111.1,42731,
34128.2,42677,

duration(ms)
4257725

min cost
33430.5

solution
640
403
186
393
419
40
124
187
56
632
318
614
194
370
380
500
678
655
373
533
454
381
421
504
31
274
525
568
296
544
268
38
659
278
488
35
511
420
375
262
668
16
197
179
183
103
351
276
9
200
467
271
122
65
42
625
405
540
261
669
39
286
578
68
112
696
134
46
118
237
211
378
539
433
550
388
634
450
143
463
335
496
556
628
17
597
644
15
602
699
636
512
108
566
515
660
606
647
338
635
398
33
2
228
309
289
217
171
594
650
332
260
94
7
141
577
126
337
48
641
71
353
534
210
377
222
491
192
548
390
490
224
47
72
506
241
607
372
41
36
62
253
8
283
474
554
135
138
127
383
670
680
516
76
339
307
257
546
571
145
677
270
88
251
425
376
49
66
218
661
333
543
265
317
310
567
591
315
21
189
688
304
44
109
110
176
626
149
250
673
159
113
209
656
325
205
181
408
564
621
551
443
404
587
620
273
664
55
645
671
263
675
77
652
535
201
545
302
156
20
5
487
523
85
416
147
445
690
140
199
343
386
465
360
473
329
298
107
165
290
638
334
682
87
3
529
306
441
177
252
196
19
352
363
190
301
202
162
502
206
532
486
402
651
59
631
615
456
558
448
691
139
175
464
492
164
586
689
394
617
292
560
119
524
633
97
426
679
86
693
396
106
63
153
471
161
417
170
93
624
219
685
227
542
468
57
152
238
266
600
70
245
472
182
14
469
589
80
354
32
331
242
684
10
26
314
479
320
562
248
531
666
342
497
208
513
437
326
90
230
536
75
552
439
480
180
422
649
501
580
6
590
172
572
155
407
188
28
603
207
78
305
132
53
630
84
605
553
459
460
236
321
157
565
133
507
83
509
672
457
387
477
285
409
275
400
277
359
547
327
60
212
330
444
223
254
495
585
281
51
102
61
229
249
687
4
410
81
150
592
220
12
528
144
1
64
137
598
267
481
629
475
662
424
272
148
362
653
574
412
264
136
643
573
618
99
575
527
483
319
692
347
493
518
619
365
178
336
451
297
25
374
128
282
499
348
345
50
101
623
129
505
455
434
357
686
11
73
169
432
37
431
563
174
308
415
508
541
418
18
131
494
350
442
681
430
191
355
341
300
98
657
484
27
92
0
195
244
413
198
482
358
401
280
514
22
646
279
667
193
142
382
239
291
537
288
582
293
340
596
581
121
74
610
114
130
13
510
115
576
225
125
637
168
226
54
503
259
627
203
549
427
538
411
105
366
530
391
185
392
389
232
367
466
324
665
458
517
570
446
452
613
213
158
89
654
91
584
498
361
313
246
79
561
23
399
395
648
520
30
100
555
519
269
111
414
522
470
43
658
255
256
384
95
344
346
167
295
323
642
612
428
583
622
423
243
284
258
406
698
604
683
379
521
214
569
453
697
67
154
328
312
676
45
385
371
440
287
436
595
104
695
593
485
221
160
216
316
609
611
24
588
29
311
184
151
34
96
559
349
369
526
215
173
234
429
166
435
476
299
557
303
579
52
204
616
368
461
120
240
322
489
356
397
235
294
674
608
146
117
364
116
694
447
639
449
163
123
478
247
231
69
58
462
438
82
663
233
601
599
