N,CITY_NUM,GMAX,PC,PM
155000,700,100,0.9,0.1
x,y
6,66
31,66
24,98
55,21
86,16
67,32
30,3
50,2
29,57
57,19
66,56
89,84
68,38
16,97
45,73
17,51
91,48
17,15
46,24
89,84
40,56
17,70
11,19
24,92
76,33
11,43
90,52
79,10
91,47
7,36
20,24
39,12
72,8
79,70
32,68
55,72
77,24
94,88
43,70
81,20
4,44
15,46
97,94
56,88
41,64
76,13
40,15
25,65
23,5
87,7
25,42
31,2
66,25
43,10
47,24
82,51
20,97
97,17
43,54
57,36
70,85
49,62
52,27
27,27
84,15
34,9
9,65
64,28
42,7
90,90
83,24
93,3
73,91
73,16
97,82
4,67
68,5
81,20
84,61
48,68
28,34
30,37
0,46
17,94
53,59
36,88
83,30
91,56
73,16
72,70
99,28
37,67
34,70
39,18
31,87
39,59
22,21
97,74
67,66
20,20
26,9
60,9
39,3
66,12
20,90
82,19
71,71
38,57
41,77
27,73
17,66
84,91
87,81
17,6
0,37
78,26
98,38
87,37
42,5
1,62
48,35
33,19
58,71
76,0
0,3
25,69
22,9
60,61
43,77
68,95
67,46
73,65
85,60
55,79
66,56
41,14
44,26
85,2
49,61
54,49
64,31
19,86
93,31
0,88
61,68
83,28
14,56
45,51
68,52
30,34
61,23
0,5
49,85
7,98
46,62
0,63
45,71
1,38
2,1
26,63
21,9
43,88
17,41
39,86
93,22
20,54
97,73
11,47
10,19
45,9
33,97
72,78
68,25
69,71
79,95
86,0
5,82
88,74
75,80
60,68
54,33
75,51
6,38
98,16
9,96
25,94
93,49
73,14
27,42
37,6
89,23
58,46
57,47
21,32
79,81
53,33
14,80
36,72
18,87
41,28
83,18
22,28
68,47
94,95
41,31
53,83
7,11
29,64
10,50
49,89
84,2
74,50
34,11
75,4
98,16
84,33
34,59
13,54
6,8
1,0
39,54
83,98
66,64
15,28
67,64
18,51
18,44
53,52
7,28
8,5
96,93
90,83
52,56
37,10
64,39
10,55
45,45
54,63
62,69
92,29
85,10
32,3
6,85
7,14
66,15
71,62
8,62
45,60
70,35
23,34
26,33
41,71
31,47
35,93
16,27
74,53
89,6
56,95
43,15
9,9
83,33
24,91
47,21
4,17
56,27
51,82
12,44
6,95
92,41
40,60
68,14
14,9
20,22
4,64
38,66
25,21
99,1
64,46
23,20
15,31
99,66
66,64
62,72
59,54
13,0
15,33
66,81
42,87
3,98
3,41
64,80
14,15
82,31
13,57
51,28
40,51
46,6
67,9
78,26
63,43
78,30
76,45
11,70
84,15
69,39
8,85
19,75
1,53
6,14
62,9
43,3
12,89
9,79
50,40
6,14
35,36
96,12
81,8
34,17
75,55
56,35
41,28
10,42
33,16
8,96
78,3
99,90
45,60
70,95
52,28
61,88
64,58
52,98
18,86
15,93
42,24
28,83
4,91
77,37
59,37
33,37
41,84
28,86
97,50
81,49
78,43
37,42
53,89
92,71
28,8
16,70
84,96
5,88
87,34
77,99
71,63
36,12
47,16
98,96
66,32
46,44
27,35
39,80
77,31
51,5
91,19
27,27
15,84
15,55
18,45
