N,CITY_NUM,GMAX,PC,PM
145000,700,100,0.9,0.1
x,y
1,2
7,51
25,0
78,75
10,55
39,44
13,30
25,43
28,46
71,24
58,52
42,63
39,2
3,90
93,63
60,40
14,45
18,64
26,88
5,35
85,83
4,33
91,76
38,87
49,56
11,84
99,26
66,90
62,28
46,9
46,38
18,20
67,91
7,22
25,14
66,33
46,96
90,31
30,5
75,14
57,22
87,85
85,40
51,29
58,23
50,29
68,64
7,37
75,56
34,97
24,56
91,3
17,63
100,28
44,51
8,95
99,69
11,85
20,9
2,16
37,43
37,56
75,29
17,34
14,74
22,68
7,37
61,98
26,30
99,12
74,70
18,6
90,16
79,61
58,95
83,23
1,44
86,12
30,49
51,88
79,19
86,84
24,85
49,12
49,56
65,31
11,27
65,89
25,0
14,45
78,46
80,63
70,22
12,29
81,78
16,18
98,98
54,18
56,50
50,71
19,7
54,33
3,90
26,59
7,8
10,84
33,37
16,76
49,27
69,36
64,44
92,62
20,8
4,48
36,12
75,86
19,8
35,83
61,70
46,24
13,72
93,20
26,87
92,33
66,32
97,53
83,37
15,75
14,2
91,31
70,65
80,91
38,0
65,2
81,78
88,86
4,76
3,33
89,87
23,41
49,100
31,35
82,79
31,93
52,2
68,49
32,8
5,21
21,24
74,71
19,36
89,29
53,61
46,53
45,51
38,44
66,32
53,32
92,4
83,52
86,69
68,92
38,58
9,10
4,48
42,63
93,6
68,34
93,35
33,95
10,41
35,98
44,80
54,90
91,75
13,0
96,67
39,2
97,82
81,6
55,6
80,34
84,39
16,76
29,47
96,81
58,37
44,93
49,13
87,41
86,83
27,3
32,95
64,73
57,80
83,52
77,88
47,53
45,9
75,86
76,44
100,72
3,18
29,4
97,82
73,40
90,88
35,40
72,11
36,55
20,81
13,43
8,52
75,28
48,98
39,30
52,89
100,42
95,80
58,38
45,37
96,52
38,58
40,74
59,24
7,66
84,10
40,16
40,31
69,50
68,92
79,47
42,63
8,38
92,76
2,2
89,44
13,43
73,26
30,63
66,4
70,8
92,62
32,65
14,30
94,50
98,11
39,45
1,15
91,61
34,96
1,30
100,42
33,23
4,33
61,41
19,79
73,98
23,12
40,46
99,27
65,32
74,55
50,72
40,3
65,17
82,36
73,69
11,99
62,85
92,18
44,22
70,7
70,51
89,59
6,50
15,90
62,13
98,98
5,20
82,64
24,27
7,8
33,23
13,29
50,43
33,37
37,0
57,22
54,90
0,43
29,48
9,24
30,63
48,41
60,40
13,88
24,100
71,37
79,76
44,64
48,41
47,54
82,22
77,31
42,5
72,82
48,12
100,57
79,4
63,58
28,32
55,5
14,16
90,89
44,79
14,16
97,9
64,87
74,71
1,88
53,17
59,38
5,6
77,45
31,36
85,69
39,59
98,69
98,68
37,13
82,50
95,7
85,98
100,71
29,62
31,93
67,18
33,9
45,37
3,18
24,42
0,58
94,50
77,59
1,73
92,19
68,49
0,87
61,85
49,85
25,71
66,47
61,41
38,86
0,58
40,74
22,54
72,54
22,11
21,53
44,65
93,48
52,74
61,41
64,1
51,29
95,94
80,19
16,18
98,54
64,15
89,87
34,67
18,6
51,29
46,67
23,41
13,58
25,14
76,72
54,5
25,29
14,45
17,48
43,92
2,46
9,54
28,46
98,25
65,74
21,53
90,31
86,84
28,46
53,46
68,93
38,0
82,36
72,54
33,52
11,13
100,100
20,95
57,51
93,34
1,73
10,26
63,58
66,75
26,88
85,68
40,89
19,94
96,67
95,22
20,8
21,39
8,23
91,32
88,86
57,79
42,19
83,95
80,19
26,29
86,55
15,46
13,73
75,28
39,45
83,37
19,94
80,19
12,86
22,83
59,39
100,100
19,80
16,47
93,20
53,17
11,71
55,78
35,83
72,68
11,71
35,69
57,22
14,45
74,85
11,100
21,53
86,55
48,26
48,70
25,43
75,86
74,55
43,93
70,22
1,30
36,70
62,42
82,8
99,70
65,74
78,2
44,79
44,36
47,83
60,40
3,47
81,78
75,86
84,82
12,86
68,64
29,77
65,60
9,68
69,36
62,28
97,24
62,27
1,2
72,53
12,43
88,15
85,25
65,74
41,47
73,26
3,75
50,28
52,60
48,98
56,93
97,10
64,87
37,28
60,25
29,76
42,77
59,68
35,98
77,16
51,59
58,37
97,68
5,92
80,49
29,62
92,77
64,87
44,94
21,68
73,12
10,26
14,31
12,28
19,79
41,61
85,54
11,56
96,9
79,47
12,43
96,52
89,30
72,10
59,53
68,6
65,31
31,64
53,75
77,16
57,36
17,20
47,54
80,34
60,10
4,5
7,9
41,47
24,71
50,100
23,41
100,86
71,81
39,30
44,7
61,84
1,45
65,89
25,29
84,39
59,24
91,3
43,49
51,1
24,85
45,23
96,52
29,47
62,13
28,61
6,7
25,15
71,38
60,39
55,92
26,74
60,25
15,17
81,6
7,9
84,52
30,35
96,37
50,71
62,13
67,34
84,24
17,77
39,2
42,77
54,77
59,53
90,75
40,17
53,76
12,0
61,27
59,53
57,22
62,100
79,90
51,58
24,70
30,20
38,72
16,19
43,35
77,1
57,7
52,31
5,64
25,0
10,11
84,24
14,2
12,86
61,99
67,63
18,35
77,1
10,26
28,17
93,34
82,51
74,85
87,86
67,77
22,54
27,60
10,26
24,85
70,51
93,6
18,78
81,20
65,2
32,22
26,58
80,19
29,19
63,28
83,38
37,72
39,88
17,33
6,7
1,16
27,60
28,18
29,91
8,24
3,33
78,3
1,59
12,14
76,1
95,95
34,24
30,92
26,29
94,21
7,23
5,6
60,25
53,76
88,57
76,72
5,92
59,82
99,84
59,9
58,37
32,22
86,41
9,11
64,44
48,99
84,23
83,8
44,22
40,17
24,56
87,99
38,0
25,72
21,82
74,99
0,29
62,28
8,67
13,0
43,78
98,83
55,63
90,89
76,73
73,70
68,20
42,19
75,100
64,44
84,9
18,6
cost,round_duration
34043.8,36218,
34037.3,36249,
34116.9,36118,
34128.5,36076,
34073.4,36136,
34097.5,36063,
34149.7,36089,
34193.7,35966,
34118.2,36063,
34069.3,36018,
33949.3,36094,
33715.1,36177,
34131.1,36119,
34209.7,36160,
34030.7,36137,
33851.4,36194,
33982.6,36231,
34015,36144,
34149.7,36220,
34041.3,36145,
34020.2,36112,
34219.2,36275,
34035.5,36147,
34306,36226,
33609.7,36210,
34231.4,36151,
34241,36168,
34016.1,36212,
34180.8,36233,
33858.4,36221,
34087.5,36233,
34238.4,36261,
34162.3,36195,
33746.2,36256,
33967.7,36339,
34034.4,36305,
33988.8,36267,
34114.9,36295,
33968.8,36372,
34214.6,36333,
33850.2,36299,
34093.1,36478,
34080.9,36333,
34168,36437,
34078.7,36659,
34058,36420,
33903.4,36670,
34003.7,36668,
34056,36691,
34222.8,36516,
34246.9,36341,
34071,36606,
34131.2,36514,
33802.7,36503,
34192.3,36623,
34237.2,36447,
34051.5,36546,
34013.1,36533,
33664.4,36484,
34114.3,36471,
34164.1,36565,
34103.4,36581,
34123.5,36500,
33945.2,36491,
34202.3,36652,
34225.8,36585,
34256.3,36596,
34295.8,36658,
33266.7,36614,
34141.4,36678,
33914,36661,
33928.1,36640,
33883.3,36655,
34208.4,36609,
34142.7,36658,
34012.6,36660,
33801.5,36722,
34066.7,36758,
34031.5,36699,
34062.7,36738,
34252.5,36784,
33853.9,36733,
34217.6,36793,
34072.9,36766,
34178.3,36824,
34074.9,36838,
34098.2,36661,
33842.5,36837,
34179.9,36750,
34149.8,36751,
33783.2,36882,
34055.6,36784,
34043.4,36801,
33956.9,36806,
34043.8,36795,
33885.7,36840,
34192.8,36802,
34111.4,36833,
34245.7,36893,
34336.1,36787,

duration(ms)
3646399

min cost
33266.7

solution
241
59
314
662
238
93
624
612
32
503
521
474
623
163
112
326
186
378
391
94
27
574
480
377
573
209
585
166
428
60
511
443
181
696
532
489
361
15
408
641
592
1
297
416
82
185
145
14
555
433
476
235
430
183
549
285
278
579
130
691
240
213
531
552
56
407
682
212
89
677
34
274
384
4
553
488
69
402
76
485
252
267
218
638
467
651
271
217
548
353
409
457
306
336
618
386
619
501
640
584
442
598
429
244
431
563
272
128
16
621
47
104
454
146
245
293
182
180
49
176
648
275
440
288
595
125
347
484
483
425
350
582
154
374
527
684
248
659
141
295
317
39
645
283
388
8
120
282
406
90
231
23
604
369
255
695
42
422
557
249
197
383
160
512
524
292
593
542
375
437
251
9
305
543
470
46
496
419
535
559
29
190
193
385
400
157
153
570
491
92
539
322
159
131
246
222
665
664
650
537
451
411
303
525
242
556
184
155
88
332
499
423
550
544
372
143
308
67
48
646
341
208
227
260
10
24
583
466
421
395
560
633
449
52
290
660
376
668
508
644
87
367
63
307
464
189
200
64
576
564
649
144
626
11
57
266
357
233
19
424
224
441
95
243
30
122
21
135
156
108
276
147
620
450
504
435
597
477
234
413
500
85
118
697
487
625
516
110
371
219
61
134
514
84
588
20
396
493
210
698
417
670
581
138
366
259
302
461
119
681
632
195
337
359
194
70
541
236
519
427
294
175
205
505
688
403
590
331
453
33
66
5
54
315
602
405
679
226
636
299
298
206
471
690
324
686
102
320
546
165
169
655
673
515
296
473
25
637
674
634
506
617
340
139
202
699
533
287
150
472
594
97
279
170
98
365
348
79
685
38
133
247
44
96
389
319
683
381
436
591
498
663
313
373
196
239
111
517
694
578
460
509
116
329
398
164
264
434
577
221
567
334
652
136
81
265
228
444
452
43
587
528
256
201
370
392
614
36
382
601
364
565
610
608
631
687
263
586
62
390
401
72
497
345
630
137
117
572
77
667
653
414
149
530
566
204
51
68
71
671
547
456
177
463
325
346
301
17
191
261
113
310
362
669
258
481
37
12
277
522
216
439
447
380
397
568
2
40
230
596
513
495
207
6
518
482
312
616
352
173
187
639
342
304
404
580
689
75
179
459
100
445
178
680
589
91
257
126
420
393
523
318
253
123
432
0
455
643
254
399
171
13
661
101
151
28
80
536
339
599
270
300
478
410
161
629
394
18
363
289
168
494
237
468
158
672
605
106
575
448
86
561
571
142
198
220
510
333
412
327
344
22
199
354
269
225
291
99
647
105
232
26
615
281
7
387
124
675
606
540
107
446
65
103
628
250
338
349
554
309
360
607
167
58
152
676
692
666
600
53
115
465
569
215
658
284
335
286
520
3
83
132
529
545
229
479
280
31
526
368
50
635
188
323
611
678
656
469
622
475
356
343
121
490
627
192
613
657
415
73
311
321
379
534
273
223
603
438
45
486
492
172
330
609
262
140
693
129
558
148
551
78
654
458
507
538
211
214
642
109
203
41
355
55
162
502
418
127
462
174
316
328
74
562
114
268
35
358
351
426
